spec_index,family,design,outcome_field,n_obs,n_features,covariance_type,n_unique_panelist_clusters,n_unique_product_clusters,n_dropped_constant_columns,n_dropped_duplicate_columns,n_dropped_rank_deficient_columns,aic,bic,log_likelihood,path__summary_json,path__metadata_json,path__coefficients_full_csv,path__coefficients_attributes_csv,path__coefficients_top_attributes_csv,path__dropped_columns_csv
0,ordered_logit,panelist_features,rating,60,19,cluster,20,9,0,1,4,159.32871406273205,205.40429443161827,-57.66435703136603,outputs/run_beer_demo_questionnaire/analysis/regression/00_ordered_logit_panelist_features_rating_summary.json,outputs/run_beer_demo_questionnaire/analysis/regression/00_ordered_logit_panelist_features_rating_metadata.json,outputs/run_beer_demo_questionnaire/analysis/regression/00_ordered_logit_panelist_features_rating_coefficients_full.csv,outputs/run_beer_demo_questionnaire/analysis/regression/00_ordered_logit_panelist_features_rating_coefficients_attributes.csv,outputs/run_beer_demo_questionnaire/analysis/regression/00_ordered_logit_panelist_features_rating_coefficients_top_attributes.csv,outputs/run_beer_demo_questionnaire/analysis/regression/00_ordered_logit_panelist_features_rating_dropped_columns.csv
1,ordered_probit,panelist_features,rating,60,19,cluster,20,9,0,1,4,157.96361119581334,204.03919156469954,-56.98180559790667,outputs/run_beer_demo_questionnaire/analysis/regression/01_ordered_probit_panelist_features_rating_summary.json,outputs/run_beer_demo_questionnaire/analysis/regression/01_ordered_probit_panelist_features_rating_metadata.json,outputs/run_beer_demo_questionnaire/analysis/regression/01_ordered_probit_panelist_features_rating_coefficients_full.csv,outputs/run_beer_demo_questionnaire/analysis/regression/01_ordered_probit_panelist_features_rating_coefficients_attributes.csv,outputs/run_beer_demo_questionnaire/analysis/regression/01_ordered_probit_panelist_features_rating_coefficients_top_attributes.csv,outputs/run_beer_demo_questionnaire/analysis/regression/01_ordered_probit_panelist_features_rating_dropped_columns.csv
2,probit,panelist_features,usefulness,60,20,,20,9,0,1,4,,,,outputs/run_beer_demo_questionnaire/analysis/regression/02_probit_panelist_features_usefulness_summary.json,outputs/run_beer_demo_questionnaire/analysis/regression/02_probit_panelist_features_usefulness_metadata.json,outputs/run_beer_demo_questionnaire/analysis/regression/02_probit_panelist_features_usefulness_coefficients_full.csv,outputs/run_beer_demo_questionnaire/analysis/regression/02_probit_panelist_features_usefulness_coefficients_attributes.csv,outputs/run_beer_demo_questionnaire/analysis/regression/02_probit_panelist_features_usefulness_coefficients_top_attributes.csv,outputs/run_beer_demo_questionnaire/analysis/regression/02_probit_panelist_features_usefulness_dropped_columns.csv
3,logit,panelist_features,usefulness,60,20,,20,9,0,1,4,,,,outputs/run_beer_demo_questionnaire/analysis/regression/03_logit_panelist_features_usefulness_summary.json,outputs/run_beer_demo_questionnaire/analysis/regression/03_logit_panelist_features_usefulness_metadata.json,outputs/run_beer_demo_questionnaire/analysis/regression/03_logit_panelist_features_usefulness_coefficients_full.csv,outputs/run_beer_demo_questionnaire/analysis/regression/03_logit_panelist_features_usefulness_coefficients_attributes.csv,outputs/run_beer_demo_questionnaire/analysis/regression/03_logit_panelist_features_usefulness_coefficients_top_attributes.csv,outputs/run_beer_demo_questionnaire/analysis/regression/03_logit_panelist_features_usefulness_dropped_columns.csv
